method,lr,weight_decay,hidden_channels,num_layers,dropout,val_acc,test_acc
h2gcn_strc, 0.001,0.0005,64,2,0.0,90.4000 ± 2.0870, 89.7970 ± 0.8283
h2gcn_strc, 0.01,0.0005,128,2,0.0,91.4667 ± 2.0221, 91.8739 ± 1.5361
h2gcn_strc, 0.01,0.0005,128,2,0.5,89.8667 ± 4.5558, 87.2044 ± 4.6017
h2gcn_strc, 0.01,0.0005,128,2,0.5,93.2000 ± 0.7303, 91.7554 ± 1.7094
h2gcn_strc, 0.001,0.0005,128,1,0.0,87.6000 ± 6.2999, 88.2434 ± 6.1773
h2gcn_strc, 0.001,0.0005,64,2,0.0,89.3333 ± 0.6667, 87.5075 ± 1.2601
h2gcn_strc, 0.001,0.0005,64,2,0.5,90.6667 ± 2.3094, 90.5236 ± 1.0477
h2gcn_strc, 0.001,0.0005,64,2,0.5,89.7333 ± 0.5963, 87.1285 ± 2.3313
h2gcn_strc, 0.001,0.0005,128,1,0.5,78.2667 ± 6.1391, 76.1516 ± 11.0387
h2gcn_strc, 0.001,0.0005,128,1,0.5,88.8000 ± 6.6232, 88.8777 ± 5.1674
h2gcn_strc, 0.001,0.001,128,2,0.0,89.0667 ± 3.0037, 88.5308 ± 5.1797
h2gcn_strc, 0.001,0.001,128,2,0.0,90.1333 ± 1.5202, 87.8726 ± 1.3716
h2gcn_strc, 0.001,0.001,128,2,0.5,90.2667 ± 1.9777, 87.7230 ± 1.2701
h2gcn_strc, 0.001,0.001,128,2,0.5,91.2000 ± 2.4221, 90.1037 ± 0.9876
h2gcn_strc, 0.001,0.0005,128,2,0.0,89.7333 ± 1.6055, 88.2662 ± 1.9694
h2gcn_strc, 0.001,0.0005,128,2,0.0,90.9333 ± 2.1909, 90.2812 ± 0.9928
h2gcn_strc, 0.001,0.0005,128,2,0.5,90.2667 ± 1.9777, 87.8509 ± 1.0692
h2gcn_strc, 0.001,0.0005,128,2,0.5,91.2000 ± 2.4676, 90.5143 ± 0.9243
